baseline,file,line,symbol,language,status,audit_refs
94ff55f,src/akasha/api/batch.mojo,12,BatchMutation.__init__,Mojo,inventory_only,
94ff55f,src/akasha/api/batch.mojo,25,BatchMutation.upsert,Mojo,inventory_only,
94ff55f,src/akasha/api/batch.mojo,29,BatchMutation.document_upsert,Mojo,inventory_only,
94ff55f,src/akasha/api/batch.mojo,37,BatchMutation.delete,Mojo,inventory_only,
94ff55f,src/akasha/api/batch.mojo,48,BatchWriteResult.__init__,Mojo,inventory_only,
94ff55f,src/akasha/api/collection.mojo,115,_ResolvedCollectionConfig.__init__,Mojo,inventory_only,
94ff55f,src/akasha/api/collection.mojo,129,_HnswRebuildOrdinal.__init__,Mojo,inventory_only,
94ff55f,src/akasha/api/collection.mojo,134,_HnswRebuildOrdinal.__lt__,Mojo,inventory_only,
94ff55f,src/akasha/api/collection.mojo,185,PersistentCollection.__init__,Mojo,inventory_only,
94ff55f,src/akasha/api/collection.mojo,255,PersistentCollection.open,Mojo,inventory_only,
94ff55f,src/akasha/api/collection.mojo,269,PersistentCollection.open_with_config,Mojo,inventory_only,
94ff55f,src/akasha/api/collection.mojo,531,PersistentCollection.collection_config,Mojo,inventory_only,
94ff55f,src/akasha/api/collection.mojo,535,PersistentCollection.ann_metric,Mojo,inventory_only,
